"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "XML", "JSON with Comments", "JSON", "Markdown", "MS SQL", "JavaScript", "comment", "blank", "total"
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/prisma/migrations/20250313104932_extended_video_game_product2/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 24, 0, 7, 1, 32
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/public/file.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/public/globe.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/public/next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/public/vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/public/window.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/services/api.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 6, 5, 24
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/services/auth/index.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/services/product/api.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/services/userInfo/index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/services/users/[id]/index.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/services/users/index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/tailwind.config.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/types/type.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"Total", "-", 1148, 1, 300, 5, 27, 7263, 23, 221, 16, 69, 251, 9324
